Id,Price
4567,173568.8541240052
5925,120616.98195478247
960,138143.72654160694
3848,160333.20960352125
746,178117.37078363093
868,388020.25750930456
672,116924.3462967853
2471,216452.23345088953
4510,130755.17576514087
8354,249271.065394917
6393,181083.01518817118
13270,225885.1628818189
5250,283553.839845446
16751,169207.56205241062
11404,140106.16684872433
10588,316979.95814211585
14925,185805.26358421208
6791,258750.44631683995
16097,176048.64390419022
16428,377402.3528815715
6945,352714.2137924949
3190,191429.66481288755
15709,468696.2476947136
13155,170744.83706488978
7675,197805.76244471892
14686,216261.39147319793
609,177809.57053841444
11155,145340.61931101212
10869,202513.57759604522
15742,185859.05419073626
9245,190523.9242403445
3340,194500.5182618265
2359,281540.4760997246
8070,219072.91383070493
13707,126961.13530002936
16079,296583.8702268209
15937,296629.9519690629
14090,165117.65059068138
9008,195892.16992599732
16384,168561.48057539095
11657,269902.7920382922
13151,142011.7256524824
8990,190092.43389526772
11857,186722.16630679648
1565,155018.81191681183
8174,112000.11730085855
9247,258677.7032582075
10478,209589.41039630334
15509,149260.33169625927
8306,181319.13357132932
6642,182625.76852276738
7472,238914.84901941277
15989,130455.210756671
13682,121616.19575529918
163,279306.72268900875
7076,172363.26320672632
7478,327664.3398865739
3029,188509.58960893663
1814,147328.7546890421
10057,136439.32433208104
15100,207115.2284968192
12694,235252.6872318197
6291,188077.45321071168
12603,195932.94830728177
3218,250011.72234712233
13456,126171.21409429557
10170,235426.2191703686
4530,159094.71948964224
13329,172971.31572921728
4820,136254.64304740253
10896,172493.17177789373
13416,116594.19731726976
2701,243155.52726723053
11265,315289.8760561544
9189,265631.2980274052
1858,161702.5788354017
14536,241864.81072385394
6199,282201.17065880424
14730,154196.8910528534
7510,260627.25460316014
15505,160699.93756358337
7446,190983.2610477401
14016,180901.77270490586
14113,113079.24180952221
8721,290518.92612052767
6193,264530.41259340226
5717,166382.85515876164
5427,332346.4706746601
9520,495280.20258152223
6869,100495.46002427545
1658,147306.7555633731
6639,206898.75801022016
6283,191434.31611545358
6257,125830.33016691034
15235,172407.25709559905
902,226751.69543766507
8932,211973.7790584856
16469,301121.0998744502
2825,270978.81218463735
